budget,id,original_title,popularity,revenue,runtime,vote_average,vote_count,genre_1,genre_2,genre_3,director,release_year,Drama,Comedy,Adventure,Action,Crime,Fantasy,Romance,Thriller,main_lead,is_male,is_female,,,,prod_comp_count,release_year,count,decade1,custom category,,,year,decadewise,custom category,,,,country_release_count
2.00E+08,534,Terminator Salvation,71.862892,371353001,115,5.9,2463,Action,Science Fiction,Thriller,McG,2009,0,0,0,1,0,0,0,0,Christian Bale,1,0,,,,0.4,1965,4,6,1,,,,,,,,,0.4
2.00E+08,20662,Robin Hood,37.668301,310669540,140,6.2,1398,Action,Adventure,NA,Ridley Scott,2010,0,0,0,1,0,0,0,0,Russell Crowe,1,0,,,,0.4,1966,2,6,1,,,,,,,,,0.2
2.00E+08,44912,Green Lantern,51.872839,219851172,114,5.1,2487,Adventure,Action,Thriller,Martin Campbell,2011,0,0,1,0,0,0,0,0,Ryan Reynolds,1,0,,,,0.3,1967,3,6,1,,,,,,,,,0.1
1.95E+08,38356,Transformers: Dark of the Moon,28.529607,1123746996,154,6.1,3299,Action,Science Fiction,Adventure,Michael Bay,2011,0,0,0,1,0,0,0,0,Shia LaBeouf,1,0,,,,0.4,1968,2,6,1,,,,,,,,,0.1
1.95E+08,81005,Jack the Giant Slayer,43.349855,197687603,114,5.5,2598,Action,Family,Fantasy,Bryan Singer,2013,0,0,0,1,0,0,0,0,Nicholas Hoult,1,0,,,,0.6,1969,7,6,1,,,,,,,,,0.1
1.90E+08,168259,Furious 7,102.322217,1506249360,137,7.3,4176,Action,NA,NA,James Wan,2015,0,0,0,1,0,0,0,0,Vin Diesel,1,0,,,,1,1970,5,7,2,,,,,,,,,0.2
1.90E+08,54138,Star Trek Into Darkness,78.291018,467365246,132,7.4,4418,Action,Adventure,Science Fiction,J.J. Abrams,2013,0,0,0,1,0,0,0,0,Chris Pine,1,0,,,,0.4,1971,6,7,2,,,,,,,,,0.1
1.90E+08,158852,Tomorrowland,130.311355,209154322,130,6.2,2846,Adventure,Family,Mystery,Brad Bird,2015,0,0,1,0,0,0,0,0,Britt Robertson,0,1,,,,0.3,1972,4,7,2,,,,,,,,,0.1
1.85E+08,155,The Dark Knight,187.322927,1004558444,152,8.2,12002,Drama,Action,Crime,Christopher Nolan,2008,1,0,0,0,0,0,0,0,Christian Bale,1,0,,,,0.5,1973,7,7,2,,,,,,,,,0.2
1.85E+08,217,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,786636033,122,5.7,2495,Adventure,Action,NA,Steven Spielberg,2008,0,0,1,0,0,0,0,0,Harrison Ford,1,0,,,,0.2,1974,4,7,2,,,,,,,,,0.1
1.85E+08,188927,Star Trek Beyond,65.352913,343471816,122,6.6,2568,Action,Adventure,Science Fiction,Justin Lin,2016,0,0,0,1,0,0,0,0,Chris Pine,1,0,,,,0.7,1975,5,7,2,,,,,,,,,0.1
1.80E+08,102651,Maleficent,110.620647,758539785,97,7,4496,Fantasy,Adventure,Action,Robert Stromberg,2014,0,0,0,0,0,1,0,0,Angelina Jolie,0,1,,,,0.3,1976,6,7,2,,,,,,,,,0.1
1.80E+08,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,748806957,143,6.7,2629,Adventure,Family,Fantasy,Andrew Adamson,2005,0,0,1,0,0,0,0,0,William Moseley,1,0,,,,0.2,1977,8,7,2,,,,,,,,,0.2
1.80E+08,68726,Pacific Rim,56.523205,407602906,131,6.7,4794,Action,Science Fiction,Adventure,Guillermo del Toro,2013,0,0,0,1,0,0,0,0,Idris Elba,1,0,,,,0.4,1978,7,7,2,,,,,,,,,0.2
1.80E+08,2268,The Golden Compass,42.990906,372234864,113,5.8,1303,Adventure,Fantasy,NA,Chris Weitz,2007,0,0,1,0,0,0,0,0,Dakota Blue Richards,0,1,,,,0.4,1979,8,7,2,,,,,,,,,0.2
1.80E+08,258489,The Legend of Tarzan,42.741719,356743061,109,5.5,2430,Action,Adventure,NA,David Yates,2016,0,0,0,1,0,0,0,0,Alexander Skarsg̴rd,1,0,,,,0.7,1980,10,8,3,,,,,,,,,0.3
1.78E+08,137113,Edge of Tomorrow,79.456485,370541256,113,7.6,4858,Action,Science Fiction,NA,Doug Liman,2014,0,0,0,1,0,0,0,0,Tom Cruise,1,0,,,,0.6,1981,20,8,3,,,,,,,,,0.2
1.75E+08,297761,Suicide Squad,90.23792,7.45E+08,123,5.9,7458,Action,Adventure,Crime,David Ayer,2016,0,0,0,1,0,0,0,0,Will Smith,1,0,,,,0.5,1982,8,8,3,,,,,,,,,0.1
1.75E+08,2698,Evan Almighty,27.082182,1.73E+08,96,5.3,1151,Fantasy,Comedy,Family,Tom Shadyac,2007,0,0,0,0,0,1,0,0,Steve Carell,1,0,,,,0.7,1983,15,8,3,,,,,,,,,0.1
1.75E+08,150540,Inside Out,128.655964,857611174,94,8,6560,Drama,Comedy,Animation,Pete Docter,2015,1,0,0,0,0,0,0,0,Amy Poehler,0,1,,,,0.2,1984,19,8,3,,,,,,,,,0.1
1.75E+08,652,Troy,66.803149,497409852,163,6.9,2759,Adventure,Drama,War,Wolfgang Petersen,2004,0,0,1,0,0,0,0,0,Brad Pitt,1,0,,,,0.6,1985,16,8,3,,,,,,,,,0.3
1.75E+08,105864,The Good Dinosaur,51.692953,331926147,93,6.6,1736,Adventure,Animation,Family,Peter Sohn,2015,0,0,1,0,0,0,0,0,Raymond Ochoa,0,0,,,,0.2,1986,12,8,3,,,,,,,,,0.1
1.75E+08,14869,G.I. Joe: The Rise of Cobra,32.852443,302469017,118,5.6,1962,Adventure,Action,Thriller,Stephen Sommers,2009,0,0,1,0,0,0,0,0,Dennis Quaid,1,0,,,,0.5,1987,15,8,3,,,,,,,,,0.2
1.75E+08,64686,47 Ronin,41.796339,150962475,119,5.9,1326,Drama,Action,Adventure,Carl Rinsch,2013,1,0,0,0,0,0,0,0,Keanu Reeves,1,0,,,,0.5,1989,17,8,3,,,,,,,,,0.1
1.70E+08,118340,Guardians of the Galaxy,481.098624,773328629,121,7.9,9742,Action,Science Fiction,Adventure,James Gunn,2014,0,0,0,1,0,0,0,0,Chris Pratt,1,0,,,,0.4,1990,22,9,4,,,,,,,,,0.2
1.70E+08,100402,Captain America: The Winter Soldier,72.225265,714766572,136,7.6,5764,Action,Adventure,Science Fiction,NA,2014,0,0,0,1,0,0,0,0,Chris Evans,1,0,,,,0.1,1991,18,9,4,,,,,,,,,0.1
1.70E+08,76338,Thor: The Dark World,99.499595,644571402,112,6.8,4755,Action,Adventure,Fantasy,Alan Taylor,2013,0,0,0,1,0,0,0,0,Chris Hemsworth,1,0,,,,0.1,1992,23,9,4,,,,,,,,,0.1
1.70E+08,20526,TRON: Legacy,73.79505,400062763,125,6.3,2841,Adventure,Action,Science Fiction,Joseph Kosinski,2010,0,0,1,0,0,0,0,0,Garrett Hedlund,1,0,,,,0.6,1993,34,9,4,,,,,,,,,0.1
1.70E+08,58595,Snow White and the Huntsman,77.178973,396600000,127,5.8,3118,Adventure,Fantasy,Drama,Rupert Sanders,2012,0,0,1,0,0,0,0,0,Kristen Stewart,0,1,,,,0.2,1994,36,9,4,,,,,,,,,0.1
1.70E+08,241259,Alice Through the Looking Glass,56.268916,299370084,113,6.5,1725,Fantasy,NA,NA,James Bobin,2016,0,0,0,0,0,1,0,0,Johnny Depp,1,0,,,,0.5,1995,52,9,4,,,,,,,,,0.2
1.70E+08,44826,Hugo,32.319043,185770160,126,7,2141,Adventure,Drama,Family,Martin Scorsese,2011,0,0,1,0,0,0,0,0,Ben Kingsley,1,0,,,,0.3,1997,67,9,4,,,,,,,,,0.3
1.65E+08,10192,Shrek Forever After,44.041186,752600867,93,6,1959,Comedy,Adventure,Fantasy,Mike Mitchell,2010,0,1,0,0,0,0,0,0,Mike Myers,1,0,,,,0.1,1998,73,9,4,,,,,,,,,0.1
1.65E+08,157336,Interstellar,724.247784,675120017,169,8.1,10867,Adventure,Drama,Science Fiction,Christopher Nolan,2014,0,0,1,0,0,0,0,0,Matthew McConaughey,1,0,,,,0.5,1999,91,9,4,,,,,,,,,0.3
1.65E+08,177572,Big Hero 6,203.73459,652105443,102,7.8,6135,Adventure,Family,Animation,NA,2014,0,0,1,0,0,0,0,0,Scott Adsit,1,0,,,,0.2,2000,91,10,5,,,,,,,,,0.1
1.65E+08,10191,How to Train Your Dragon,67.263269,494878759,98,7.5,4227,Fantasy,Adventure,Animation,NA,2010,0,0,0,0,0,1,0,0,Jay Baruchel,1,0,,,,0.3,2001,107,10,5,,,,,,,,,0.1
1.65E+08,47933,Independence Day: Resurgence,48.775723,389681935,120,4.9,2491,Action,Adventure,Science Fiction,Roland Emmerich,2016,0,0,0,1,0,0,0,0,Liam Hemsworth,1,0,,,,0.4,2002,115,10,5,,,,,,,,,0.1
1.65E+08,5255,The Polar Express,47.323228,305875730,100,6.4,1474,Adventure,Animation,Family,Robert Zemeckis,2004,0,0,1,0,0,0,0,0,Tom Hanks,1,0,,,,0.3,2003,91,10,5,,,,,,,,,0.1
1.60E+08,27205,Inception,167.58371,825532764,148,8.1,13752,Action,Thriller,Science Fiction,Christopher Nolan,2010,0,0,0,1,0,0,0,0,Leonardo DiCaprio,1,0,,,,0.3,2004,112,10,5,,,,,,,,,0.2
1.60E+08,810,Shrek the Third,42.986467,798958165,93,6,2278,Fantasy,Adventure,Animation,NA,2007,0,0,0,0,0,1,0,0,Mike Myers,1,0,,,,0.2,2005,121,10,5,,,,,,,,,0.1
1.60E+08,131634,The Hunger Games: Mockingjay - Part 2,127.284427,653428261,137,6.6,3984,Action,Adventure,Science Fiction,Francis Lawrence,2015,0,0,0,1,0,0,0,0,Jennifer Lawrence,0,1,,,,0.3,2006,138,10,5,,,,,,,,,0.2
1.60E+08,68735,Warcraft,63.148529,433677183,123,6.3,2268,Action,Adventure,Fantasy,Duncan Jones,2016,0,0,0,1,0,0,0,0,Paula Patton,0,1,,,,0.4,2007,97,10,5,,,,,,,,,0.4
1.60E+08,49538,X-Men: First Class,3.195174,353624124,132,7.1,5181,Action,Science Fiction,Adventure,Matthew Vaughn,2011,0,0,0,1,0,0,0,0,James McAvoy,1,0,,,,0.9,2008,129,10,5,,,,,,,,,0.1
1.60E+08,503,Poseidon,21.133748,181674817,99,5.5,583,Adventure,Action,Drama,Wolfgang Petersen,2006,0,0,1,0,0,0,0,0,Kurt Russell,1,0,,,,0.6,2009,127,10,5,,,,,,,,,0.1
1.55E+08,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,415686217,113,6.2,1514,Adventure,Family,Fantasy,Michael Apted,2010,0,0,1,0,0,0,0,0,Skandar Keynes,1,0,,,,0.3,2012,104,11,6,,,,,,,,,0.1
1.50E+08,57165,Wrath of the Titans,44.927635,3.01E+08,99,5.5,1431,Adventure,NA,NA,Jonathan Liebesman,2012,0,0,1,0,0,0,0,0,Sam Worthington,1,0,,,,0.5,2013,122,11,6,,,,,,,,,0.2
1.50E+08,135397,Jurassic World,418.708552,1513528810,124,6.5,8662,Action,Adventure,Science Fiction,Colin Trevorrow,2015,0,0,0,1,0,0,0,0,Chris Pratt,1,0,,,,0.5,2014,105,11,6,,,,,,,,,0.1
1.50E+08,675,Harry Potter and the Order of the Phoenix,78.144395,938212738,138,7.4,5494,Adventure,Fantasy,Family,David Yates,2007,0,0,1,0,0,0,0,0,Daniel Radcliffe,1,0,,,,0.2,2015,103,11,6,,,,,,,,,0.2
1.50E+08,809,Shrek 2,47.320801,919838758,93,6.7,2988,Adventure,Animation,Comedy,NA,2004,0,0,1,0,0,0,0,0,Mike Myers,1,0,,,,0.3,2016,59,11,6,,,,,,,,,0.1
1.50E+08,674,Harry Potter and the Goblet of Fire,101.250416,895921036,157,7.5,5608,Adventure,Fantasy,Family,Mike Newell,2005,0,0,1,0,0,0,0,0,Daniel Radcliffe,1,0,,,,0.3,,,,,,,,,,,,,0.2
1.50E+08,604,The Matrix Reloaded,70.78591,738599701,138,6.7,3443,Adventure,Action,Thriller,NA,2003,0,0,1,0,0,0,0,0,Keanu Reeves,1,0,,,,0.5,,,,,,,,,,,,,0.2
1.50E+08,1858,Transformers,25.468493,709709780,144,6.6,4040,Adventure,Science Fiction,Action,Michael Bay,2007,0,0,1,0,0,0,0,0,Shia LaBeouf,1,0,,,,0.9,,,,,,,,,,,,,0.1
1.50E+08,177677,Mission: Impossible - Rogue Nation,114.522237,682330139,131,7.1,3224,Action,Adventure,Thriller,Christopher McQuarrie,2015,0,0,0,1,0,0,0,0,Tom Cruise,1,0,,,,0.7,,,,,,,,,,,,,0.2
1.50E+08,8960,Hancock,56.758411,624029371,92,6.2,2961,Fantasy,Action,NA,Peter Berg,2008,0,0,0,0,0,1,0,0,Will Smith,1,0,,,,0.7,,,,,,,,,,,,,0.1
1.50E+08,36557,Casino Royale,88.935165,599045960,144,7.3,3855,Adventure,Action,Thriller,Martin Campbell,2006,0,0,1,0,0,0,0,0,Daniel Craig,1,0,,,,0.3,,,,,,,,,,,,,0.5
1.50E+08,6479,I Am Legend,70.867401,585349010,101,6.9,4853,Drama,Horror,Action,Francis Lawrence,2007,1,0,0,0,0,0,0,0,Will Smith,1,0,,,,0.6,,,,,,,,,,,,,0.1
1.50E+08,118,Charlie and the Chocolate Factory,53.905592,474968763,115,6.7,3624,Adventure,Comedy,Family,Tim Burton,2005,0,0,1,0,0,0,0,0,Johnny Depp,1,0,,,,0.6,,,,,,,,,,,,,0.3
1.50E+08,10195,Thor,86.493424,449326618,115,6.6,6525,Adventure,Fantasy,Action,Kenneth Branagh,2011,0,0,1,0,0,0,0,0,Chris Hemsworth,1,0,,,,0.1,,,,,,,,,,,,,0.1
1.50E+08,605,The Matrix Revolutions,73.313918,424988211,129,6.4,3096,Adventure,Action,Thriller,NA,2003,0,0,1,0,0,0,0,0,Keanu Reeves,1,0,,,,0.4,,,,,,,,,,,,,0.2
1.50E+08,18360,Night at the Museum: Battle of the Smithsonian,81.781591,413106170,105,5.9,1971,Adventure,Fantasy,Action,Shawn Levy,2009,0,0,1,0,0,0,0,0,Ben Stiller,1,0,,,,0.6,,,,,,,,,,,,,0.2
1.50E+08,956,Mission: Impossible III,63.079003,397850012,126,6.5,2028,Adventure,Action,Thriller,J.J. Abrams,2006,0,0,1,0,0,0,0,0,Tom Cruise,1,0,,,,0.7,,,,,,,,,,,,,0.3
1.50E+08,76341,Mad Max: Fury Road,434.278564,378858340,120,7.2,9427,Action,Adventure,Science Fiction,George Miller,2015,0,0,0,1,0,0,0,0,Tom Hardy,1,0,,,,0.3,,,,,,,,,,,,,0.2
1.50E+08,272,Batman Begins,115.040024,374218673,140,7.5,7359,Action,Crime,Drama,Christopher Nolan,2005,0,0,0,1,0,0,0,0,Christian Bale,1,0,,,,0.6,,,,,,,,,,,,,0.2
1.50E+08,2080,X-Men Origins: Wolverine,5.954334,373062864,107,6.2,4021,Adventure,Action,Thriller,Gavin Hood,2009,0,0,1,0,0,0,0,0,Hugh Jackman,1,0,,,,0.8,,,,,,,,,,,,,0.1
1.50E+08,13448,Angels & Demons,67.447636,356613439,138,6.5,2129,Thriller,Mystery,NA,Ron Howard,2009,0,0,0,0,0,0,0,1,Tom Hanks,1,0,,,,0.4,,,,,,,,,,,,,0.2
1.50E+08,9543,Prince of Persia: The Sands of Time,62.169881,335154643,116,6.2,2317,Adventure,Fantasy,Action,Mike Newell,2010,0,0,1,0,0,0,0,0,Jake Gyllenhaal,1,0,,,,0.2,,,,,,,,,,,,,0.1
1.50E+08,4922,The Curious Case of Benjamin Button,60.269279,333932083,166,7.3,3292,Fantasy,Drama,Thriller,David Fincher,2008,0,0,0,0,0,1,0,0,Cate Blanchett,0,1,,,,0.3,,,,,,,,,,,,,0.1
1.50E+08,10196,The Last Airbender,33.769336,318502923,103,4.7,1151,Action,Adventure,Family,M. Night Shyamalan,2010,0,0,0,1,0,0,0,0,Noah Ringer,1,0,,,,0.5,,,,,,,,,,,,,0.1
1.50E+08,19585,G-Force,26.710398,292817841,88,5.1,510,Fantasy,Action,Adventure,Hoyt Yeatman,2009,0,0,0,0,0,1,0,0,Sam Rockwell,1,0,,,,0.3,,,,,,,,,,,,,0.1
1.50E+08,62213,Dark Shadows,50.306728,245527149,113,5.7,2320,Comedy,Fantasy,NA,Tim Burton,2012,0,1,0,0,0,0,0,0,Johnny Depp,1,0,,,,0.7,,,,,,,,,,,,,0.2
1.50E+08,27022,The Sorcerer's Apprentice,35.580815,215283742,109,5.8,1470,Fantasy,Adventure,Action,Jon Turteltaub,2010,0,0,0,0,0,1,0,0,Nicolas Cage,1,0,,,,0.5,,,,,,,,,,,,,0.1
1.50E+08,8619,Master and Commander: The Far Side of the World,36.973031,212011111,138,6.9,790,Adventure,NA,NA,Peter Weir,2003,0,0,1,0,0,0,0,0,Russell Crowe,1,0,,,,0.4,,,,,,,,,,,,,0.1
1.50E+08,117251,White House Down,39.004588,205366737,131,6.4,1891,Action,Drama,Thriller,Roland Emmerich,2013,0,0,0,1,0,0,0,0,Channing Tatum,1,0,,,,0.4,,,,,,,,,,,,,0.1
1.50E+08,266647,Pan,48.03528,128388320,111,5.9,954,Adventure,Family,Fantasy,Joe Wright,2015,0,0,1,0,0,0,0,0,Levi Miller,1,0,,,,0.4,,,,,,,,,,,,,0.1
1.50E+08,50321,Mars Needs Moms,12.362599,38992758,88,5.5,199,Adventure,Animation,Family,Simon Wells,2011,0,0,1,0,0,0,0,0,Seth Green,1,0,,,,0.1,,,,,,,,,,,,,0.1
1.49E+08,11619,Flushed Away,22.550135,64459316,85,6,874,Adventure,Animation,Comedy,NA,2006,0,0,1,0,0,0,0,0,Hugh Jackman,1,0,,,,0.2,,,,,,,,,,,,,0.2
1.45E+08,56292,Mission: Impossible - Ghost Protocol,77.77477,694713380,133,6.8,3972,Action,Thriller,Adventure,Brad Bird,2011,0,0,0,1,0,0,0,0,Tom Cruise,1,0,,,,0.6,,,,,,,,,,,,,0.3
1.45E+08,82702,How to Train Your Dragon 2,100.21391,609123048,102,7.6,3106,Fantasy,Action,Adventure,Dean DeBlois,2014,0,0,0,0,0,1,0,0,Jay Baruchel,1,0,,,,0.2,,,,,,,,,,,,,0.1
