revenue,popularity,runtime,budget,vote_average,prod_comp_count,country_release_count,Drama,Comedy,Adventure,Action,Crime,Fantasy,Romance,Thriller,is_male,is_female,main_lead,id,original_title,genre_1,genre_2,genre_3,director,release_year,vote_count,,,,,,,,,,,,,,
150962475,41.796339,119,1.75E+08,5.9,0.5,0.1,1,0,0,0,0,0,0,0,1,0,Keanu Reeves,64686,47 Ronin,Drama,Action,Adventure,Carl Rinsch,2013,1326,,,,,,,,,,,,,,
773328629,481.098624,121,1.70E+08,7.9,0.4,0.2,0,0,0,1,0,0,0,0,1,0,Chris Pratt,118340,Guardians of the Galaxy,Action,Science Fiction,Adventure,James Gunn,2014,9742,,,,,,,,,,,,,,
714766572,72.225265,136,1.70E+08,7.6,0.1,0.1,0,0,0,1,0,0,0,0,1,0,Chris Evans,100402,Captain America: The Winter Soldier,Action,Adventure,Science Fiction,NA,2014,5764,,,,,,,,,,,,,,
644571402,99.499595,112,1.70E+08,6.8,0.1,0.1,0,0,0,1,0,0,0,0,1,0,Chris Hemsworth,76338,Thor: The Dark World,Action,Adventure,Fantasy,Alan Taylor,2013,4755,,,,,,,,,,,,,,
400062763,73.79505,125,1.70E+08,6.3,0.6,0.1,0,0,1,0,0,0,0,0,1,0,Garrett Hedlund,20526,TRON: Legacy,Adventure,Action,Science Fiction,Joseph Kosinski,2010,2841,,,,,,,,,,,,,,
396600000,77.178973,127,1.70E+08,5.8,0.2,0.1,0,0,1,0,0,0,0,0,0,1,Kristen Stewart,58595,Snow White and the Huntsman,Adventure,Fantasy,Drama,Rupert Sanders,2012,3118,,,,,,,,,,,,,,
299370084,56.268916,113,1.70E+08,6.5,0.5,0.2,0,0,0,0,0,1,0,0,1,0,Johnny Depp,241259,Alice Through the Looking Glass,Fantasy,NA,NA,James Bobin,2016,1725,,,,,,,,,,,,,,
222104681,40.748915,106,1.70E+08,5.1,0.4,0.1,0,0,0,1,0,0,0,0,1,0,Will Smith,8487,Wild Wild West,Action,Adventure,Comedy,Barry Sonnenfeld,1999,1020,,,,,,,,,,,,,,
185770160,32.319043,126,1.70E+08,7,0.3,0.3,0,0,1,0,0,0,0,0,1,0,Ben Kingsley,44826,Hugo,Adventure,Drama,Family,Martin Scorsese,2011,2141,,,,,,,,,,,,,,
752600867,44.041186,93,1.65E+08,6,0.1,0.1,0,1,0,0,0,0,0,0,1,0,Mike Myers,10192,Shrek Forever After,Comedy,Adventure,Fantasy,Mike Mitchell,2010,1959,,,,,,,,,,,,,,
675120017,724.247784,169,1.65E+08,8.1,0.5,0.3,0,0,1,0,0,0,0,0,1,0,Matthew McConaughey,157336,Interstellar,Adventure,Drama,Science Fiction,Christopher Nolan,2014,10867,,,,,,,,,,,,,,
652105443,203.73459,102,1.65E+08,7.8,0.2,0.1,0,0,1,0,0,0,0,0,1,0,Scott Adsit,177572,Big Hero 6,Adventure,Family,Animation,NA,2014,6135,,,,,,,,,,,,,,
